Pokedex_Number,Name,Image,Type,Ability,Hp,Attack,Defense,Sp. Attack,Sp. Defense,Speed
#00387,Turtwig,1.png,Grass,Overgrow Shell Armor,55,68,64,45,55,31
#00388,Grotle,2.png,Grass,Overgrow Shell Armor,75,89,85,55,65,36
#00389,Torterra,3.png,"Grass, Ground",Overgrow Shell Armor,95,109,105,75,85,56
#00390,Chimchar,4.png,Fire,Blaze Iron Fist,44,58,44,58,44,61
#00391,Monferno,5.png,"Fire, Fighting",Blaze Iron Fist,64,78,52,78,52,81
#00392,Infernape,6.png,"Fire, Fighting",Blaze Iron Fist,76,104,71,104,71,108
#00393,Piplup,7.png,Water,Torrent Defiant,53,51,53,61,56,40
#00394,Prinplup,8.png,Water,Torrent Defiant,64,66,68,81,76,50
#00395,Empoleon,9.png,"Water, Steel",Torrent Defiant,84,86,88,111,101,60
#00396,Starly,10.png,"Normal, Flying",Keen Eye Reckless,40,55,30,30,30,60
#00397,Staravia,11.png,"Normal, Flying",Intimidate Reckless,55,75,50,40,40,80
#00398,Staraptor,12.png,"Normal, Flying",Intimidate Reckless,85,120,70,50,60,100
#00399,Bidoof,13.png,Normal,Simple Unaware Moody,59,45,40,35,40,31
#00400,Bibarel,14.png,"Normal, Water",Simple Unaware Moody,79,85,60,55,60,71
#00401,Kricketot,15.png,Bug,Shed Skin Run Away,37,25,41,25,41,25
#00402,Kricketune,16.png,Bug,Swarm Technician,77,85,51,55,51,65
#00403,Shinx,17.png,Electric,Rivalry Intimidate Guts,45,65,34,40,34,45
#00404,Luxio,18.png,Electric,Rivalry Intimidate Guts,60,85,49,60,49,60
#00405,Luxray,19.png,Electric,Rivalry Intimidate Guts,80,120,79,95,79,70
#00406,Budew,20.png,"Grass, Poison",Natural Cure Poison Point Leaf Guard,40,30,35,50,70,55
#00407,Roserade,21.png,"Grass, Poison",Natural Cure Poison Point Technician,60,70,65,125,105,90
#00408,Cranidos,22.png,Rock,Mold Breaker Sheer Force,67,125,40,30,30,58
#00409,Rampardos,23.png,Rock,Mold Breaker Sheer Force,97,165,60,65,50,58
#00410,Shieldon,24.png,"Rock, Steel",Sturdy Soundproof,30,42,118,42,88,30
#00411,Bastiodon,25.png,"Rock, Steel",Sturdy Soundproof,60,52,168,47,138,30
#00412,Burmy,26.png,Bug,Shed Skin Overcoat,40,29,45,29,45,36
#00413,Wormadam,27.png,"Bug, Grass",Anticipation Overcoat,60,59,85,79,105,36
#00414,Mothim,28.png,"Bug, Flying",Swarm Tinted Lens,70,94,50,94,50,66
#00415,Combee,29.png,"Bug, Flying",Honey Gather Hustle,30,30,42,30,42,70
#00416,Vespiquen,30.png,"Bug, Flying",Pressure Unnerve,70,80,102,80,102,40
#00417,Pachirisu,31.png,Electric,Run Away Pickup Volt Absorb,60,45,70,45,90,95
#00418,Buizel,32.png,Water,Swift Swim Water Veil,55,65,35,60,30,85
#00419,Floatzel,33.png,Water,Swift Swim Water Veil,85,105,55,85,50,115
#00420,Cherubi,34.png,Grass,Chlorophyll,45,35,45,62,53,35
#00421,Cherrim,35.png,Grass,Flower Gift,70,60,70,87,78,85
#00422,Shellos,36.png,Water,Sticky Hold Storm Drain Sand Force,76,48,48,57,62,34
#00423,Gastrodon,37.png,"Water, Ground",Sticky Hold Storm Drain Sand Force,111,83,68,92,82,39
#00424,Ambipom,38.png,Normal,Technician Pickup Skill Link,75,100,66,60,66,115
#00425,Drifloon,39.png,"Ghost, Flying",Aftermath Unburden Flare Boost,90,50,34,60,44,70
#00426,Drifblim,40.png,"Ghost, Flying",Aftermath Unburden Flare Boost,150,80,44,90,54,80
#00427,Buneary,41.png,Normal,Run Away Klutz Limber,55,66,44,44,56,85
#00428,Lopunny,42.png,Normal,Cute Charm Klutz Limber,65,76,84,54,96,105
#00429,Mismagius,43.png,Ghost,Levitate,60,60,60,105,105,105
#00430,Honchkrow,44.png,"Dark, Flying",Insomnia Super Luck Moxie,100,125,52,105,52,71
#00431,Glameow,45.png,Normal,Limber Own Tempo Keen Eye,49,55,42,42,37,85
#00432,Purugly,46.png,Normal,Thick Fat Own Tempo Defiant,71,82,64,64,59,112
#00433,Chingling,47.png,Psychic,Levitate,45,30,50,65,50,45
#00434,Stunky,48.png,"Poison, Dark",Stench Aftermath Keen Eye,63,63,47,41,41,74
#00435,Skuntank,49.png,"Poison, Dark",Stench Aftermath Keen Eye,103,93,67,71,61,84
#00436,Bronzor,50.png,"Steel, Psychic",Levitate Heatproof Heavy Metal,57,24,86,24,86,23
#00437,Bronzong,51.png,"Steel, Psychic",Levitate Heatproof Heavy Metal,67,89,116,79,116,33
#00438,Bonsly,52.png,Rock,Sturdy Rock Head Rattled,50,80,95,10,45,10
#00439,Mime Jr.,53.png,"Psychic, Fairy",Soundproof Filter Technician,20,25,45,70,90,60
#00440,Happiny,54.png,Normal,Natural Cure Serene Grace Friend Guard,100,5,5,15,65,30
#00441,Chatot,55.png,"Normal, Flying",Keen Eye Tangled Feet Big Pecks,76,65,45,92,42,91
#00442,Spiritomb,56.png,"Ghost, Dark",Pressure Infiltrator,50,92,108,92,108,35
#00443,Gible,57.png,"Dragon, Ground",Sand Veil Rough Skin,58,70,45,40,45,42
#00444,Gabite,58.png,"Dragon, Ground",Sand Veil Rough Skin,68,90,65,50,55,82
#00445,Garchomp,59.png,"Dragon, Ground",Sand Veil Rough Skin,108,130,95,80,85,102
#00446,Munchlax,60.png,Normal,Pickup Thick Fat Gluttony,135,85,40,40,85,5
#00447,Riolu,61.png,Fighting,Steadfast Inner Focus Prankster,40,70,40,35,40,60
#00448,Lucario,62.png,"Fighting, Steel",Steadfast Inner Focus Justified,70,110,70,115,70,90
#00449,Hippopotas,63.png,Ground,Sand Stream Sand Force,68,72,78,38,42,32
#00450,Hippowdon,64.png,Ground,Sand Stream Sand Force,108,112,118,68,72,47
#00451,Skorupi,65.png,"Poison, Bug",Battle Armor Sniper Keen Eye,40,50,90,30,55,65
#00452,Drapion,66.png,"Poison, Dark",Battle Armor Sniper Keen Eye,70,90,110,60,75,95
#00453,Croagunk,67.png,"Poison, Fighting",Anticipation Dry Skin Poison Touch,48,61,40,61,40,50
#00454,Toxicroak,68.png,"Poison, Fighting",Anticipation Dry Skin Poison Touch,83,106,65,86,65,85
#00455,Carnivine,69.png,Grass,Levitate,74,100,72,90,72,46
#00456,Finneon,70.png,Water,Swift Swim Storm Drain Water Veil,49,49,56,49,61,66
#00457,Lumineon,71.png,Water,Swift Swim Storm Drain Water Veil,69,69,76,69,86,91
#00458,Mantyke,72.png,"Water, Flying",Swift Swim Water Absorb Water Veil,45,20,50,60,120,50
#00459,Snover,73.png,"Grass, Ice",Snow Warning Soundproof,60,62,50,62,60,40
#00460,Abomasnow,74.png,"Grass, Ice",Snow Warning Soundproof,90,92,75,92,85,60
#00461,Weavile,75.png,"Dark, Ice",Pressure Pickpocket,70,120,65,45,85,125
#00462,Magnezone,76.png,"Electric, Steel",Magnet Pull Sturdy Analytic,70,70,115,130,90,60
#00463,Lickilicky,77.png,Normal,Own Tempo Oblivious Cloud Nine,110,85,95,80,95,50
#00464,Rhyperior,78.png,"Ground, Rock",Lightning Rod Solid Rock Reckless,115,140,130,55,55,40
#00465,Tangrowth,79.png,Grass,Chlorophyll Leaf Guard Regenerator,100,100,125,110,50,50
#00466,Electivire,80.png,Electric,Motor Drive Vital Spirit,75,123,67,95,85,95
#00467,Magmortar,81.png,Fire,Flame Body Vital Spirit,75,95,67,125,95,83
#00468,Togekiss,82.png,"Fairy, Flying",Hustle Serene Grace Super Luck,85,50,95,120,115,80
#00469,Yanmega,83.png,"Bug, Flying",Speed Boost Tinted Lens Frisk,86,76,86,116,56,95
#00470,Leafeon,84.png,Grass,Leaf Guard Chlorophyll,65,110,130,60,65,95
#00471,Glaceon,85.png,Ice,Snow Cloak Ice Body,65,60,110,130,95,65
#00472,Gliscor,86.png,"Ground, Flying",Hyper Cutter Sand Veil Poison Heal,75,95,125,45,75,95
#00473,Mamoswine,87.png,"Ice, Ground",Oblivious Snow Cloak Thick Fat,110,130,80,70,60,80
#00474,Porygon-Z,88.png,Normal,Adaptability Download Analytic,85,80,70,135,75,90
#00475,Gallade,89.png,"Psychic, Fighting",Steadfast Justified,68,125,65,65,115,80
#00476,Probopass,90.png,"Rock, Steel",Sturdy Magnet Pull Sand Force,60,55,145,75,150,40
#00477,Dusknoir,91.png,Ghost,Pressure Frisk,45,100,135,65,135,45
#00478,Froslass,92.png,"Ice, Ghost",Snow Cloak Cursed Body,70,80,70,80,70,110
#00479,Rotom,93.png,"Electric, Ghost",Levitate,50,50,77,95,77,91
#00480,Uxie,94.png,Psychic,Levitate,75,75,130,75,130,95
#00481,Mesprit,95.png,Psychic,Levitate,80,105,105,105,105,80
#00482,Azelf,96.png,Psychic,Levitate,75,125,70,125,70,115
#00483,Dialga,97.png,"Steel, Dragon",Pressure Telepathy,100,120,120,150,100,90
#00484,Palkia,98.png,"Water, Dragon",Pressure Telepathy,90,120,100,150,120,100
#00485,Heatran,99.png,"Fire, Steel",Flash Fire Flame Body,91,90,106,130,106,77
#00486,Regigigas,100.png,Normal,Slow Start,110,160,110,80,110,100
#00487,Giratina,101.png,"Ghost, Dragon",Pressure Telepathy,150,100,120,100,120,90
#00488,Cresselia,102.png,Psychic,Levitate,120,70,110,75,120,85
#00489,Phione,103.png,Water,Hydration,80,80,80,80,80,80
#00490,Manaphy,104.png,Water,Hydration,100,100,100,100,100,100
#00491,Darkrai,105.png,Dark,Bad Dreams,70,90,90,135,90,125
#00492,Shaymin,106.png,Grass,Natural Cure,100,100,100,100,100,100
#00493,Arceus,107.png,Normal,Multitype,120,120,120,120,120,120
