Pokedex_Number,Name,Image,Type,Ability,Hp,Attack,Defense,Sp. Attack,Sp. Defense,Speed
#00252,Treecko,1.png,Grass,Overgrow Unburden,40,45,35,65,55,70
#00253,Grovyle,2.png,Grass,Overgrow Unburden,50,65,45,85,65,95
#00254,Sceptile,3.png,Grass,Overgrow Unburden,70,85,65,105,85,120
#00255,Torchic,4.png,Fire,Blaze Speed Boost,45,60,40,70,50,45
#00256,Combusken,5.png,"Fire, Fighting",Blaze Speed Boost,60,85,60,85,60,55
#00257,Blaziken,6.png,"Fire, Fighting",Blaze Speed Boost,80,120,70,110,70,80
#00258,Mudkip,7.png,Water,Torrent Damp,50,70,50,50,50,40
#00259,Marshtomp,8.png,"Water, Ground",Torrent Damp,70,85,70,60,70,50
#00260,Swampert,9.png,"Water, Ground",Torrent Damp,100,110,90,85,90,60
#00261,Poochyena,10.png,Dark,Run Away Quick Feet Rattled,35,55,35,30,30,35
#00262,Mightyena,11.png,Dark,Intimidate Quick Feet Moxie,70,90,70,60,60,70
#00263,Zigzagoon,12.png,Normal,Pickup Gluttony Quick Feet,38,30,41,30,41,60
#00264,Linoone,13.png,Normal,Pickup Gluttony Quick Feet,78,70,61,50,61,100
#00265,Wurmple,14.png,Bug,Shield Dust Run Away,45,45,35,20,30,20
#00266,Silcoon,15.png,Bug,Shed Skin,50,35,55,25,25,15
#00267,Beautifly,16.png,"Bug, Flying",Swarm Rivalry,60,70,50,100,50,65
#00268,Cascoon,17.png,Bug,Shed Skin,50,35,55,25,25,15
#00269,Dustox,18.png,"Bug, Poison",Shield Dust Compoundeyes,60,50,70,50,90,65
#00270,Lotad,19.png,"Water, Grass",Swift Swim Rain Dish Own Tempo,40,30,30,40,50,30
#00271,Lombre,20.png,"Water, Grass",Swift Swim Rain Dish Own Tempo,60,50,50,60,70,50
#00272,Ludicolo,21.png,"Water, Grass",Swift Swim Rain Dish Own Tempo,80,70,70,90,100,70
#00273,Seedot,22.png,Grass,Chlorophyll Early Bird Pickpocket,40,40,50,30,30,30
#00274,Nuzleaf,23.png,"Grass, Dark",Chlorophyll Early Bird Pickpocket,70,70,40,60,40,60
#00275,Shiftry,24.png,"Grass, Dark",Chlorophyll Early Bird Pickpocket,90,100,60,90,60,80
#00276,Taillow,25.png,"Normal, Flying",Guts Scrappy,40,55,30,30,30,85
#00277,Swellow,26.png,"Normal, Flying",Guts Scrappy,60,85,60,75,50,125
#00278,Wingull,27.png,"Water, Flying",Keen Eye Hydration Rain Dish,40,30,30,55,30,85
#00279,Pelipper,28.png,"Water, Flying",Keen Eye Drizzle Rain Dish,60,50,100,95,70,65
#00280,Ralts,29.png,"Psychic, Fairy",Synchronize Trace Telepathy,28,25,25,45,35,40
#00281,Kirlia,30.png,"Psychic, Fairy",Synchronize Trace Telepathy,38,35,35,65,55,50
#00282,Gardevoir,31.png,"Psychic, Fairy",Synchronize Trace Telepathy,68,65,65,125,115,80
#00283,Surskit,32.png,"Bug, Water",Swift Swim Rain Dish,40,30,32,50,52,65
#00284,Masquerain,33.png,"Bug, Flying",Intimidate Unnerve,70,60,62,100,82,80
#00285,Shroomish,34.png,Grass,Effect Spore Poison Heal Quick Feet,60,40,60,40,60,35
#00286,Breloom,35.png,"Grass, Fighting",Effect Spore Poison Heal Technician,60,130,80,60,60,70
#00287,Slakoth,36.png,Normal,Truant,60,60,60,35,35,30
