Pokedex_Number,Name,Image,Type,Ability,Hp,Attack,Defense,Sp. Attack,Sp. Defense,Speed
#00722,Rowlet,1.png,"Grass, Flying",Overgrow Long Reach,68,55,55,50,50,42
#00723,Dartrix,2.png,"Grass, Flying",Overgrow Long Reach,78,75,75,70,70,52
#00724,Decidueye,3.png,"Grass, Ghost",Overgrow Long Reach,78,107,75,100,100,70
#00725,Litten,4.png,Fire,Blaze Intimidate,45,65,40,60,40,70
#00726,Torracat,5.png,Fire,Blaze Intimidate,65,85,50,80,50,90
#00727,Incineroar,6.png,"Fire, Dark",Blaze Intimidate,95,115,90,80,90,60
#00728,Popplio,7.png,Water,Torrent Liquid Voice,50,54,54,66,56,40
#00729,Brionne,8.png,Water,Torrent Liquid Voice,60,69,69,91,81,50
#00730,Primarina,9.png,"Water, Fairy",Torrent Liquid Voice,80,74,74,126,116,60
#00731,Pikipek,10.png,"Normal, Flying",Keen Eye Skill Link Pickup,35,75,30,30,30,65
#00732,Trumbeak,11.png,"Normal, Flying",Keen Eye Skill Link Pickup,55,85,50,40,50,75
#00733,Toucannon,12.png,"Normal, Flying",Keen Eye Skill Link Sheer Force,80,120,75,75,75,60
#00734,Yungoos,13.png,Normal,Stakeout Strong Jaw Adaptability,48,70,30,30,30,45
#00735,Gumshoos,14.png,Normal,Stakeout Strong Jaw Adaptability,88,110,60,55,60,45
#00736,Grubbin,15.png,Bug,Swarm,47,62,45,55,45,46
#00737,Charjabug,16.png,"Bug, Electric",Battery,57,82,95,55,75,36
#00738,Vikavolt,17.png,"Bug, Electric",Levitate,77,70,90,145,75,43
#00739,Crabrawler,18.png,Fighting,Hyper Cutter Iron Fist Anger Point,47,82,57,42,47,63
#00740,Crabominable,19.png,"Fighting, Ice",Hyper Cutter Iron Fist Anger Point,97,132,77,62,67,43
#00741,Oricorio,20.png,"Fire, Flying",Dancer,75,70,70,98,70,93
#00742,Cutiefly,21.png,"Bug, Fairy",Honey Gather Shield Dust Sweet Veil,40,45,40,55,40,84
#00743,Ribombee,22.png,"Bug, Fairy",Honey Gather Shield Dust Sweet Veil,60,55,60,95,70,124
#00744,Rockruff,23.png,Rock,Keen Eye Vital Spirit Steadfast,45,65,40,30,40,60
#00745,Lycanroc,24.png,Rock,Keen Eye Sand Rush Steadfast,75,115,65,55,65,112
#00746,Wishiwashi,25.png,Water,Schooling,45,20,20,25,25,40
#00747,Mareanie,26.png,"Poison, Water",Merciless Limber Regenerator,50,53,62,43,52,45
#00748,Toxapex,27.png,"Poison, Water",Merciless Limber Regenerator,50,63,152,53,142,35
#00749,Mudbray,28.png,Ground,Own Tempo Stamina Inner Focus,70,100,70,45,55,45
#00750,Mudsdale,29.png,Ground,Own Tempo Stamina Inner Focus,100,125,100,55,85,35
#00751,Dewpider,30.png,"Water, Bug",Water Bubble Water Absorb,38,40,52,40,72,27
#00752,Araquanid,31.png,"Water, Bug",Water Bubble Water Absorb,68,70,92,50,132,42
#00753,Fomantis,32.png,Grass,Leaf Guard Contrary,40,55,35,50,35,35
#00754,Lurantis,33.png,Grass,Leaf Guard Contrary,70,105,90,80,90,45
#00755,Morelull,34.png,"Grass, Fairy",Illuminate Effect Spore Rain Dish,40,35,55,65,75,15
#00756,Shiinotic,35.png,"Grass, Fairy",Illuminate Effect Spore Rain Dish,60,45,80,90,100,30
#00757,Salandit,36.png,"Poison, Fire",Corrosion Oblivious,48,44,40,71,40,77
#00758,Salazzle,37.png,"Poison, Fire",Corrosion Oblivious,68,64,60,111,60,117
#00759,Stufful,38.png,"Normal, Fighting",Fluffy Klutz Cute Charm,70,75,50,45,50,50
#00760,Bewear,39.png,"Normal, Fighting",Fluffy Klutz Unnerve,120,125,80,55,60,60
