Pokedex_Number,Name,Image,Type,Ability,Hp,Attack,Defense,Sp. Attack,Sp. Defense,Speed
#00650,Chespin,1.png,Grass,Overgrow Bulletproof,56,61,65,48,45,38
#00651,Quilladin,2.png,Grass,Overgrow Bulletproof,61,78,95,56,58,57
#00652,Chesnaught,3.png,"Grass, Fighting",Overgrow Bulletproof,88,107,122,74,75,64
#00653,Fennekin,4.png,Fire,Blaze Magician,40,45,40,62,60,60
#00654,Braixen,5.png,Fire,Blaze Magician,59,59,58,90,70,73
#00655,Delphox,6.png,"Fire, Psychic",Blaze Magician,75,69,72,114,100,104
#00656,Froakie,7.png,Water,Torrent Protean,41,56,40,62,44,71
#00657,Frogadier,8.png,Water,Torrent Protean,54,63,52,83,56,97
#00658,Greninja,9.png,"Water, Dark",Torrent Protean,72,95,67,103,71,122
#00659,Bunnelby,10.png,Normal,Pickup Cheek Pouch Huge Power,38,36,38,32,36,57
#00660,Diggersby,11.png,"Normal, Ground",Pickup Cheek Pouch Huge Power,85,56,77,50,77,78
#00661,Fletchling,12.png,"Normal, Flying",Big Pecks Gale Wings,45,50,43,40,38,62
#00662,Fletchinder,13.png,"Fire, Flying",Flame Body Gale Wings,62,73,55,56,52,84
#00663,Talonflame,14.png,"Fire, Flying",Flame Body Gale Wings,78,81,71,74,69,126
#00664,Scatterbug,15.png,Bug,Shield Dust Compoundeyes Friend Guard,38,35,40,27,25,35
#00665,Spewpa,16.png,Bug,Shed Skin Friend Guard,45,22,60,27,30,29
#00666,Vivillon,17.png,"Bug, Flying",Shield Dust Compoundeyes Friend Guard,80,52,50,90,50,89
#00667,Litleo,18.png,"Fire, Normal",Rivalry Unnerve Moxie,62,50,58,73,54,72
#00668,Pyroar,19.png,"Fire, Normal",Rivalry Unnerve Moxie,86,68,72,109,66,106
#00669,Flabébé,20.png,Fairy,Flower Veil Symbiosis,44,38,39,61,79,42
#00670,Floette,21.png,Fairy,Flower Veil Symbiosis,54,45,47,75,98,52
#00671,Florges,22.png,Fairy,Flower Veil Symbiosis,78,65,68,112,154,75
#00672,Skiddo,23.png,Grass,Sap Sipper Grass Pelt,66,65,48,62,57,52
#00673,Gogoat,24.png,Grass,Sap Sipper Grass Pelt,123,100,62,97,81,68
#00674,Pancham,25.png,Fighting,Iron Fist Mold Breaker Scrappy,67,82,62,46,48,43
#00675,Pangoro,26.png,"Fighting, Dark",Iron Fist Mold Breaker Scrappy,95,124,78,69,71,58
#00676,Furfrou,27.png,Normal,Fur Coat,75,80,60,65,90,102
#00677,Espurr,28.png,Psychic,Keen Eye Infiltrator Own Tempo,62,48,54,63,60,68
#00678,Meowstic,29.png,Psychic,Keen Eye Infiltrator Prankster,74,48,76,83,81,104
#00679,Honedge,30.png,"Steel, Ghost",No Guard,45,80,100,35,37,28
#00680,Doublade,31.png,"Steel, Ghost",No Guard,59,110,150,45,49,35
#00681,Aegislash,32.png,"Steel, Ghost",Stance Change,60,50,140,50,140,60
#00682,Spritzee,33.png,Fairy,Healer Aroma Veil,78,52,60,63,65,23
#00683,Aromatisse,34.png,Fairy,Healer Aroma Veil,101,72,72,99,89,29
#00684,Swirlix,35.png,Fairy,Sweet Veil Unburden,62,48,66,59,57,49
#00685,Slurpuff,36.png,Fairy,Sweet Veil Unburden,82,80,86,85,75,72
#00686,Inkay,37.png,"Dark, Psychic",Contrary Suction Cups Infiltrator,53,54,53,37,46,45
#00687,Malamar,38.png,"Dark, Psychic",Contrary Suction Cups Infiltrator,86,92,88,68,75,73
#00688,Binacle,39.png,"Rock, Water",Tough Claws Sniper Pickpocket,42,52,67,39,56,50
#00689,Barbaracle,40.png,"Rock, Water",Tough Claws Sniper Pickpocket,72,105,115,54,86,68
#00690,Skrelp,41.png,"Poison, Water",Poison Point Poison Touch Adaptability,50,60,60,60,60,30
#00691,Dragalge,42.png,"Poison, Dragon",Poison Point Poison Touch Adaptability,65,75,90,97,123,44
#00692,Clauncher,43.png,Water,Mega Launcher,50,53,62,58,63,44
#00693,Clawitzer,44.png,Water,Mega Launcher,71,73,88,120,89,59
#00694,Helioptile,45.png,"Electric, Normal",Dry Skin Sand Veil Solar Power,44,38,33,61,43,70
#00695,Heliolisk,46.png,"Electric, Normal",Dry Skin Sand Veil Solar Power,62,55,52,109,94,109
#00696,Tyrunt,47.png,"Rock, Dragon",Strong Jaw Sturdy,58,89,77,45,45,48
#00697,Tyrantrum,48.png,"Rock, Dragon",Strong Jaw Rock Head,82,121,119,69,59,71
#00698,Amaura,49.png,"Rock, Ice",Refrigerate Snow Warning,77,59,50,67,63,46
#00699,Aurorus,50.png,"Rock, Ice",Refrigerate Snow Warning,123,77,72,99,92,58
#00700,Sylveon,51.png,Fairy,Cute Charm Pixilate,95,65,65,110,130,60
#00701,Hawlucha,52.png,"Fighting, Flying",Limber Unburden Mold Breaker,78,92,75,74,63,118
#00702,Dedenne,53.png,"Electric, Fairy",Cheek Pouch Pickup Plus,67,58,57,81,67,101
#00703,Carbink,54.png,"Rock, Fairy",Clear Body Sturdy,50,50,150,50,150,50
#00704,Goomy,55.png,Dragon,Sap Sipper Hydration Gooey,45,50,35,55,75,40
#00705,Sliggoo,56.png,Dragon,Sap Sipper Hydration Gooey,68,75,53,83,113,60
#00706,Goodra,57.png,Dragon,Sap Sipper Hydration Gooey,90,100,70,110,150,80
#00707,Klefki,58.png,"Steel, Fairy",Prankster Magician,57,80,91,80,87,75
#00708,Phantump,59.png,"Ghost, Grass",Natural Cure Frisk Harvest,43,70,48,50,60,38
#00709,Trevenant,60.png,"Ghost, Grass",Natural Cure Frisk Harvest,85,110,76,65,82,56
#00710,Pumpkaboo,61.png,"Ghost, Grass",Pickup Frisk Insomnia,49,66,70,44,55,51
#00711,Gourgeist,62.png,"Ghost, Grass",Pickup Frisk Insomnia,65,90,122,58,75,84
#00712,Bergmite,63.png,Ice,Own Tempo Ice Body Sturdy,55,69,85,32,35,28
#00713,Avalugg,64.png,Ice,Own Tempo Ice Body Sturdy,95,117,184,44,46,28
#00714,Noibat,65.png,"Flying, Dragon",Frisk Infiltrator Telepathy,40,30,35,45,40,55
#00715,Noivern,66.png,"Flying, Dragon",Frisk Infiltrator Telepathy,85,70,80,97,80,123
#00716,Xerneas,67.png,Fairy,Fairy Aura,126,131,95,131,98,99
#00717,Yveltal,68.png,"Dark, Flying",Dark Aura,126,131,95,131,98,99
#00718,Zygarde,69.png,"Dragon, Ground",Aura Break,108,100,121,81,95,95
#00719,Diancie,70.png,"Rock, Fairy",Clear Body,50,100,150,100,150,50
#00720,Hoopa,71.png,"Psychic, Ghost",Magician,80,110,60,150,130,70
#00721,Volcanion,72.png,"Fire, Water",Water Absorb,80,110,120,130,90,70
