Pokedex_Number,Name,Image,Type,Ability,Hp,Attack,Defense,Sp. Attack,Sp. Defense,Speed
#00810,Grookey,1.png,Grass,Overgrow Grassy Surge,50,65,50,40,40,65
#00811,Thwackey,2.png,Grass,Overgrow Grassy Surge,70,85,70,55,60,80
#00812,Rillaboom,3.png,Grass,Overgrow Grassy Surge,100,125,90,60,70,85
#00813,Scorbunny,4.png,Fire,Blaze Libero,50,71,40,40,40,69
#00814,Raboot,5.png,Fire,Blaze Libero,65,86,60,55,60,94
#00815,Cinderace,6.png,Fire,Blaze Libero,80,116,75,65,75,119
#00816,Sobble,7.png,Water,Torrent Sniper,50,40,40,70,40,70
#00817,Drizzile,8.png,Water,Torrent Sniper,65,60,55,95,55,90
#00818,Inteleon,9.png,Water,Torrent Sniper,70,85,65,125,65,120
#00819,Skwovet,10.png,Normal,Cheek Pouch Gluttony,70,55,55,35,35,25
#00820,Greedent,11.png,Normal,Cheek Pouch Gluttony,120,95,95,55,75,20
#00821,Rookidee,12.png,Flying,Keen Eye Unnerve Big Pecks,38,47,35,33,35,57
#00822,Corvisquire,13.png,Flying,Keen Eye Unnerve Big Pecks,68,67,55,43,55,77
#00823,Corviknight,14.png,"Flying, Steel",Pressure Unnerve Mirror Armor,98,87,105,53,85,67
#00824,Blipbug,15.png,Bug,Swarm Compoundeyes Telepathy,25,20,20,25,45,45
#00825,Dottler,16.png,"Bug, Psychic",Swarm Compoundeyes Telepathy,50,35,80,50,90,30
#00826,Orbeetle,17.png,"Bug, Psychic",Swarm Frisk Telepathy,60,45,110,80,120,90
#00827,Nickit,18.png,Dark,Run Away Unburden Stakeout,40,28,28,47,52,50
#00828,Thievul,19.png,Dark,Run Away Unburden Stakeout,70,58,58,87,92,90
#00829,Gossifleur,20.png,Grass,Cotton Down Regenerator Effect Spore,40,40,60,40,60,10
#00830,Eldegoss,21.png,Grass,Cotton Down Regenerator Effect Spore,60,50,90,80,120,60
#00831,Wooloo,22.png,Normal,Fluffy Run Away Bulletproof,42,40,55,40,45,48
#00832,Dubwool,23.png,Normal,Fluffy Steadfast Bulletproof,72,80,100,60,90,88
#00833,Chewtle,24.png,Water,Strong Jaw Shell Armor Swift Swim,50,64,50,38,38,44
#00834,Drednaw,25.png,"Water, Rock",Strong Jaw Shell Armor Swift Swim,90,115,90,48,68,74
#00835,Yamper,26.png,Electric,Ball Fetch Rattled,59,45,50,40,50,26
#00836,Boltund,27.png,Electric,Strong Jaw Competitive,69,90,60,90,60,121
#00837,Rolycoly,28.png,Rock,Steam Engine Heatproof Flash Fire,30,40,50,40,50,30
#00838,Carkol,29.png,"Rock, Fire",Steam Engine Flame Body Flash Fire,80,60,90,60,70,50
#00839,Coalossal,30.png,"Rock, Fire",Steam Engine Flame Body Flash Fire,110,80,120,80,90,30
#00840,Applin,31.png,"Grass, Dragon",Ripen Gluttony Bulletproof,40,40,80,40,40,20
#00841,Flapple,32.png,"Grass, Dragon",Ripen Gluttony Hustle,70,110,80,95,60,70
#00842,Appletun,33.png,"Grass, Dragon",Ripen Gluttony Thick Fat,110,85,80,100,80,30
#00843,Silicobra,34.png,Ground,Sand Spit Shed Skin Sand Veil,52,57,75,35,50,46
#00844,Sandaconda,35.png,Ground,Sand Spit Shed Skin Sand Veil,72,107,125,65,70,71
#00845,Cramorant,36.png,"Flying, Water",Gulp Missile,70,85,55,85,95,85
#00846,Arrokuda,37.png,Water,Swift Swim Propeller Tail,41,63,40,40,30,66
#00847,Barraskewda,38.png,Water,Swift Swim Propeller Tail,61,123,60,60,50,136
#00848,Toxel,39.png,"Electric, Poison",Rattled Static Klutz,40,38,35,54,35,40
#00849,Toxtricity,40.png,"Electric, Poison",Punk Rock Plus Technician,75,98,70,114,70,75
#00850,Sizzlipede,41.png,"Fire, Bug",Flash Fire White Smoke Flame Body,50,65,45,50,50,45
#00851,Centiskorch,42.png,"Fire, Bug",Flash Fire White Smoke Flame Body,100,115,65,90,90,65
#00852,Clobbopus,43.png,Fighting,Limber Technician,50,68,60,50,50,32
#00853,Grapploct,44.png,Fighting,Limber Technician,80,118,90,70,80,42
#00854,Sinistea,45.png,Ghost,Weak Armor Cursed Body,40,45,45,74,54,50
#00855,Polteageist,46.png,Ghost,Weak Armor Cursed Body,60,65,65,134,114,70
#00856,Hatenna,47.png,Psychic,Healer Anticipation Magic Bounce,42,30,45,56,53,39
#00857,Hattrem,48.png,Psychic,Healer Anticipation Magic Bounce,57,40,65,86,73,49
#00858,Hatterene,49.png,"Psychic, Fairy",Healer Anticipation Magic Bounce,57,90,95,136,103,29
#00859,Impidimp,50.png,"Dark, Fairy",Prankster Frisk Pickpocket,45,45,30,55,40,50
#00860,Morgrem,51.png,"Dark, Fairy",Prankster Frisk Pickpocket,65,60,45,75,55,70
#00861,Grimmsnarl,52.png,"Dark, Fairy",Prankster Frisk Pickpocket,95,120,65,95,75,60
#00862,Obstagoon,53.png,"Dark, Normal",Reckless Guts Defiant,93,90,101,60,81,95
#00863,Perrserker,54.png,Steel,Battle Armor Tough Claws Steely Spirit,70,110,100,50,60,50
#00864,Cursola,55.png,Ghost,Weak Armor Perish Body,60,95,50,145,130,30
#00865,Sirfetch'd,56.png,Fighting,Steadfast Scrappy,62,135,95,68,82,65
#00866,Mr. Rime,57.png,"Ice, Psychic",Tangled Feet Screen Cleaner Ice Body,80,85,75,110,100,70
#00867,Runerigus,58.png,"Ground, Ghost",Wandering Spirit,58,95,145,50,105,30
#00868,Milcery,59.png,Fairy,Sweet Veil Aroma Veil,45,40,40,50,61,34
#00869,Alcremie,60.png,Fairy,Sweet Veil Aroma Veil,65,60,75,110,121,64
#00870,Falinks,61.png,Fighting,Battle Armor Defiant,65,100,100,70,60,75
#00871,Pincurchin,62.png,Electric,Lightning Rod Electric Surge,48,101,95,91,85,15
#00872,Snom,63.png,"Ice, Bug",Shield Dust Ice Scales,30,25,35,45,30,20
#00873,Frosmoth,64.png,"Ice, Bug",Shield Dust Ice Scales,70,65,60,125,90,65
#00874,Stonjourner,65.png,Rock,Power Spot,100,125,135,20,20,70
#00875,Eiscue,66.png,Ice,Ice Face,75,80,110,65,90,50
#00876,Indeedee,67.png,"Psychic, Normal",Inner Focus Synchronize Psychic Surge,60,65,55,105,95,95
#00877,Morpeko,68.png,"Electric, Dark",Hunger Switch,58,95,58,70,58,97
#00878,Cufant,69.png,Steel,Sheer Force Heavy Metal,72,80,49,40,49,40
#00879,Copperajah,70.png,Steel,Sheer Force Heavy Metal,122,130,69,80,69,30
#00880,Dracozolt,71.png,"Electric, Dragon",Volt Absorb Hustle Sand Rush,90,100,90,80,70,75
#00881,Arctozolt,72.png,"Electric, Ice",Volt Absorb Static Slush Rush,90,100,90,90,80,55
#00882,Dracovish,73.png,"Water, Dragon",Water Absorb Strong Jaw Sand Rush,90,90,100,70,80,75
#00883,Arctovish,74.png,"Water, Ice",Water Absorb Ice Body Slush Rush,90,90,100,80,90,55
#00884,Duraludon,75.png,"Steel, Dragon",Light Metal Heavy Metal Stalwart,70,95,115,120,50,85
#00885,Dreepy,76.png,"Dragon, Ghost",Clear Body Infiltrator Cursed Body,28,60,30,40,30,82
#00886,Drakloak,77.png,"Dragon, Ghost",Clear Body Infiltrator Cursed Body,68,80,50,60,50,102
#00887,Dragapult,78.png,"Dragon, Ghost",Clear Body Infiltrator Cursed Body,88,120,75,100,75,142
#00888,Zacian,79.png,Fairy,Intrepid Sword,92,120,115,80,115,138
#00889,Zamazenta,80.png,Fighting,Dauntless Shield,92,120,115,80,115,138
#00890,Eternatus,81.png,"Poison, Dragon",Pressure,140,85,95,145,95,130
#00891,Kubfu,82.png,Fighting,Inner Focus,60,90,60,53,50,72
#00892,Urshifu,83.png,"Fighting, Dark",Unseen Fist,100,130,100,63,60,97
#00893,Zarude,84.png,"Dark, Grass",Leaf Guard,105,120,105,70,95,105
#00894,Regieleki,85.png,Electric,Transistor,80,100,50,100,50,200
#00895,Regidrago,86.png,Dragon,Dragon's Maw,200,100,50,100,50,80
#00896,Glastrier,87.png,Ice,Chilling Neigh,100,145,130,65,110,30
#00897,Spectrier,88.png,Ghost,Grim Neigh,100,65,60,145,80,130
#00898,Calyrex,89.png,"Psychic, Grass",Unnerve,100,80,80,80,80,80
#00899,Wyrdeer,90.png,"Normal, Psychic",Intimidate Frisk Sap Sipper,103,105,72,105,75,65
#00900,Kleavor,91.png,"Bug, Rock",Swarm Sheer Force Steadfast,70,135,95,45,70,85
#00901,Ursaluna,92.png,"Ground, Normal",Guts Bulletproof Unnerve,130,140,105,45,80,50
#00902,Basculegion,93.png,"Water, Ghost",Rattled Adaptability Mold Breaker,120,112,65,80,75,78
#00903,Sneasler,94.png,"Fighting, Poison",Pressure Poison Touch,80,130,60,40,80,120
#00904,Overqwil,95.png,"Dark, Poison",Poison Point Swift Swim Intimidate,85,115,95,65,65,85
#00905,Enamorus,96.png,"Fairy, Flying",Healer Contrary,74,115,70,135,80,106
